,Year,Location,CigaretteSmokingPrevalence,TobaccoSmokingPrevalence,TobaccoUsePrevalance,MostSoldBrandCigaretteCurrency,MostSoldBrandCigarettePrice,rates,MostSoldUSD,Lat,Lng
167,2008,Bangladesh,22.0,3.0,45.5,BDT,15.0,0.011682,0.17523,23.684994,90.356331
168,2018,Barbados,10.1,2.0,2.3,BBD,14.65,0.500221,7.32823765,13.193887,-59.543198
169,2016,Barbados,10.2,2.1,2.4,BBD,15.0,0.500221,7.503315000000001,13.193887,-59.543198
170,2014,Barbados,10.3,2.2,2.4,BBD,13.85,0.500221,6.9280608500000005,13.193887,-59.543198
171,2012,Barbados,10.5,2.3,2.5,BBD,11.29,0.500221,5.64749509,13.193887,-59.543198
172,2010,Barbados,10.7,2.4,2.6,BBD,11.0,0.500221,5.5024310000000005,13.193887,-59.543198
173,2008,Barbados,2.0,2.6,2.7,BBD,11.0,0.500221,5.5024310000000005,13.193887,-59.543198
174,2018,Belarus,39.9,26.6,26.6,BYN,1.1,0.401164,0.4412804000000001,53.709807,27.953389
175,2018,Benin,4.1,11.3,12.4,XOF,500.0,0.001782,0.891,9.30769,2.315834
176,2016,Benin,4.3,11.8,2.2,XOF,500.0,0.001782,0.891,9.30769,2.315834
177,2014,Benin,4.5,12.4,2.5,XOF,500.0,0.001782,0.891,9.30769,2.315834
178,2012,Benin,4.7,13.0,2.8,XOF,500.0,0.001782,0.891,9.30769,2.315834
179,2010,Benin,5.0,13.6,17.6,XOF,500.0,0.001782,0.891,9.30769,2.315834
180,2008,Benin,10.4,14.5,20.2,XOF,500.0,0.001782,0.891,9.30769,2.315834
181,2018,Burkina Faso,10.0,12.3,24.9,XOF,750.0,0.001782,1.3365,12.238333,-1.561593
182,2016,Burkina Faso,10.1,2.1,25.6,XOF,650.0,0.001782,1.1583,12.238333,-1.561593
183,2014,Burkina Faso,10.4,2.5,26.5,XOF,500.0,0.001782,0.891,12.238333,-1.561593
184,2012,Burkina Faso,10.6,2.9,19.1,XOF,500.0,0.001782,0.891,12.238333,-1.561593
185,2010,Burkina Faso,10.8,24.4,20.4,XOF,500.0,0.001782,0.891,12.238333,-1.561593
186,2008,Burkina Faso,11.2,25.2,22.7,XOF,500.0,0.001782,0.891,12.238333,-1.561593
187,2018,Côte d’Ivoire,10.1,12.4,13.0,XOF,700.0,0.001782,1.2474,7.539988999999999,-5.547079999999999
188,2016,Côte d’Ivoire,10.5,12.8,13.4,XOF,700.0,0.001782,1.2474,7.539988999999999,-5.547079999999999
189,2014,Côte d’Ivoire,10.9,13.4,2.1,XOF,700.0,0.001782,1.2474,7.539988999999999,-5.547079999999999
190,2012,Côte d’Ivoire,11.4,13.9,2.4,XOF,700.0,0.001782,1.2474,7.539988999999999,-5.547079999999999
191,2010,Côte d’Ivoire,11.8,14.5,2.7,XOF,700.0,0.001782,1.2474,7.539988999999999,-5.547079999999999
